time,position,rotation,velocity
0.455,"[-9.969739607094616e-07, -1.4817533568822423e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.456,"[-1.0008651632423954e-06, -1.4817591699306984e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.457,"[-1.0048916390462126e-06, -1.481775643557729e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.458,"[-1.0090653265511923e-06, -1.4817992150103223e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.459,"[-1.013399554684706e-06, -1.4818271425568684e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.46,"[-1.0179075336227625e-06, -1.4818574221101345e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.461,"[-1.0226015438987227e-06, -1.4818886376319513e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.462,"[-1.0274924960905832e-06, -1.4819198295538973e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.463,"[-1.0325897499326858e-06, -1.4819503835594954e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.464,"[-1.037901104877087e-06, -1.481979939249162e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.465,"[-1.043432895976061e-06, -1.4820083170760965e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.466,"[-1.0491901479194737e-06, -1.4820354613757317e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.467,"[-1.0551767547798893e-06, -1.482061397086565e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.468,"[-1.06139566382734e-06, -1.4820861977645016e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.469,"[-1.067849049976588e-06, -1.4821099626818536e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.47,"[-1.0745384730953197e-06, -1.482132801020196e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.471,"[-1.0814650145780577e-06, -1.482154821492336e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.472,"[-1.088629392295877e-06, -1.482176125978118e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.473,"[-1.096032054804033e-06, -1.482196806065859e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.474,"[-1.1036732566818697e-06, -1.482216941602148e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.475,"[-1.111553117386782e-06, -1.4822366005717036e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.476,"[-1.1196716661722797e-06, -1.482255839808159e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.477,"[-1.1280288803360364e-06, -1.4822747036112747e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.478,"[-1.1366247259642082e-06, -1.4822932165702598e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.479,"[-1.1454591449383544e-06, -1.4823114016751553e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.48,"[-1.1545320683682692e-06, -1.4823292800612783e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.481,"[-1.1638434257391778e-06, -1.4823468709246993e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.482,"[-1.1733931505764766e-06, -1.4823641915999515e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.483,"[-1.1831811837052786e-06, -1.4823812577285407e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.484,"[-1.1932074747388055e-06, -1.4823980834628816e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.485,"[-1.2034719824426804e-06, -1.482414681677966e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.486,"[-1.2139746743645638e-06, -1.4824310641706414e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
