2025-01-23 18:06:49,106 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:07:24,727 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:07:24,820 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:07:24,821 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:07:39,305 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:07:39,356 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:07:39,356 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:07:50,502 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:07:50,553 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:07:50,553 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:12:49,475 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:12:49,517 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:12:49,517 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:13:32,740 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:13:32,790 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:13:32,790 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:14:28,730 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:14:29,172 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:14:29,172 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:14:57,658 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:14:57,699 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:14:57,700 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:24:10,312 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:24:10,349 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-01-23 18:24:10,349 INFO    MainThread:17051 [wandb_init.py:_pause_backend():541] pausing backend
2025-01-23 18:27:07,608 INFO    MainThread:17051 [wandb_init.py:_resume_backend():546] resuming backend
2025-01-23 18:27:07,789 INFO    MainThread:17051 [jupyter.py:save_ipynb():386] not saving jupyter notebook
