time,position,rotation,velocity
10.176,"[4.643880989369985, -0.005053622796560955, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.376,"[4.743883050818902, -0.004874872451823612, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0050228632793140595]"
10.576,"[4.843881171772565, -0.004584423025692354, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.007714108281264092]"
10.776,"[4.944445360531422, -0.004280062525460343, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.15906985730634673]"
10.975999999999999,"[5.044162368482997, -0.0062931702610701775, 0.0]","[0.0, 0.0, -0.03556597576126596]","[0.5, 0.0, -0.15238625644098056]"
11.176,"[5.144261057258865, -0.01132788571829268, 0.0]","[0.0, 0.0, -0.06525220901533695]","[0.5, 0.0, -0.14597576546291535]"
11.376,"[5.244140881012208, -0.019284470196366973, 0.0]","[0.0, 0.0, -0.09404229925219364]","[0.5, 0.0, -0.13977342652679453]"
11.576,"[5.343742424339016, -0.030041470068338332, 0.0]","[0.0, 0.0, -0.1216020301777871]","[0.5, 0.0, -0.13388243586459497]"
11.776,"[5.443008559172825, -0.043473807620431515, 0.0]","[0.0, 0.0, -0.1479865623879038]","[0.5, 0.0, -0.12828866309586254]"
11.975999999999999,"[5.541883618338209, -0.059461096111587695, 0.0]","[0.0, 0.0, -0.17328081295847708]","[0.5, 0.0, -0.12296897829833797]"
12.176,"[5.640325503803764, -0.07789002647143294, 0.0]","[0.0, 0.0, -0.19752969154185562]","[0.5, 0.0, -0.11791226596503335]"
12.376,"[5.738295137921893, -0.09865010472230362, 0.0]","[0.0, 0.0, -0.22077934530997534]","[0.5, 0.0, -0.1131070831347648]"
12.576,"[5.835760143377716, -0.12163768419098997, 0.0]","[0.0, 0.0, -0.2430841154603331]","[0.5, 0.0, -0.10853905718848743]"
12.776,"[5.93269641432515, -0.14675064552219155, 0.0]","[0.0, 0.0, -0.26447534041267834]","[0.5, 0.0, -0.10420251348390339]"
12.975999999999999,"[6.0295590558509415, -0.17403737025807908, 0.0]","[0.0, 0.0, -0.28511699032801285]","[0.5, 0.0, -0.10005745696260132]"
13.176,"[6.1249004201756305, -0.20298537931640126, 0.0]","[0.0, 0.0, -0.30468936753345754]","[0.5, 0.0, -0.0961761368294022]"
13.376,"[6.220127864772182, -0.23392195789132314, 0.0]","[0.0, 0.0, -0.32357432207912534]","[0.5, 0.0, -0.0924710635723992]"
13.576,"[6.314760205616639, -0.26662269415077844, 0.0]","[0.0, 0.0, -0.3418021507968702]","[0.5, 0.0, -0.0889293929507502]"
13.776,"[6.408786997411785, -0.301008969685291, 0.0]","[0.0, 0.0, -0.35932761728357115]","[0.5, 0.0, -0.08556676584266874]"
13.975999999999999,"[6.5022012055865614, -0.33700458132356986, 0.0]","[0.0, 0.0, -0.3761751694857083]","[0.5, 0.0, -0.08237765270840355]"
14.176,"[6.595004055920653, -0.3745324140785374, 0.0]","[0.0, 0.0, -0.39240464813248455]","[0.5, 0.0, -0.07934726070762786]"
14.376,"[6.687195405113436, -0.413523310792883, 0.0]","[0.0, 0.0, -0.4080238046626419]","[0.5, 0.0, -0.07647509601016697]"
14.576,"[6.778771789294732, -0.4539151774377123, 0.0]","[0.0, 0.0, -0.42308593685297513]","[0.5, 0.0, -0.07374737440907202]"
14.776,"[6.8697343312339045, -0.495651099693763, 0.0]","[0.0, 0.0, -0.4376223176904592]","[0.5, 0.0, -0.07115678664788044]"
14.975999999999999,"[6.9600872085001715, -0.5386780811786759, 0.0]","[0.0, 0.0, -0.4516585726656759]","[0.5, 0.0, -0.06869781304288025]"
15.176,"[7.04983407131075, -0.582945237880001, 0.0]","[0.0, 0.0, -0.46521728749171437]","[0.5, 0.0, -0.06636577859126776]"
15.376,"[7.138978955214656, -0.6284031044596929, 0.0]","[0.0, 0.0, -0.4783195877198078]","[0.5, 0.0, -0.06415684107483807]"
15.576,"[7.227526467027513, -0.6750042641740555, 0.0]","[0.0, 0.0, -0.4909856025620983]","[0.5, 0.0, -0.06206724694068587]"
15.776,"[7.315481871043439, -0.7227038166364722, 0.0]","[0.0, 0.0, -0.5032376022207475]","[0.5, 0.0, -0.06009291538130522]"
15.975999999999999,"[7.40285250909912, -0.7714606552288331, 0.0]","[0.0, 0.0, -0.5150944484838089]","[0.5, 0.0, -0.05823092617647822]"
16.176,"[7.489644634928548, -0.8212349499622567, 0.0]","[0.0, 0.0, -0.5265791911039638]","[0.5, 0.0, -0.05647689754905649]"
16.376,"[7.575863497692979, -0.8719912651569041, 0.0]","[0.0, 0.0, -0.5377156471210109]","[0.5, 0.0, -0.05482591437675337]"
16.576,"[7.661514586009545, -0.9236933408618624, 0.0]","[0.0, 0.0, -0.548552169260976]","[0.5, 0.0, -0.05326823755665456]"
