time,position,rotation,velocity
8.763,"[3.9019411031597104, -0.8722045339869836, 0.0]","[0.0, 0.0, -0.3973478699074678]","[0.5, 0.0, -0.036605210948892054]"
8.963,"[3.9940421053053226, -0.9112388838449942, 0.0]","[0.0, 0.0, -0.40473710644643734]","[0.5, 0.0, -0.03743111355651129]"
9.163,"[4.085848290147602, -0.9509618675232382, 0.0]","[0.0, 0.0, -0.41231746103649625]","[0.5, 0.0, -0.038556923234452076]"
9.363,"[4.177346281906048, -0.9913928622985207, 0.0]","[0.0, 0.0, -0.42015341969546627]","[0.5, 0.0, -0.04006578992685208]"
9.563,"[4.268518712458611, -1.032556730586456, 0.0]","[0.0, 0.0, -0.4283289313576168]","[0.5, 0.0, -0.04207952069947999]"
9.763,"[4.359344185905958, -1.0744872611689826, 0.0]","[0.0, 0.0, -0.4369581852367547]","[0.5, 0.0, -0.0447823695481757]"
9.963,"[4.449794874064123, -1.117231455855562, 0.0]","[0.0, 0.0, -0.44619734722498605]","[0.5, 0.0, -0.04846704290149218]"
10.163,"[4.5398310226456475, -1.160850695621171, 0.0]","[0.0, 0.0, -0.4562883101129141]","[0.5, 0.0, -0.05362410767510865]"
10.363,"[4.629409475429078, -1.2054340745993757, 0.0]","[0.0, 0.0, -0.46753764033872425]","[0.5, 0.0, -0.06117382991953725]"
10.563,"[4.718450677145209, -1.2511075018780669, 0.0]","[0.0, 0.0, -0.4805624701503645]","[0.5, 0.0, -0.07293072771627834]"
10.763,"[4.8068324860650415, -1.2980687507763309, 0.0]","[0.0, 0.0, -0.4965526726728869]","[0.5, 0.0, -0.09316918985517207]"
10.963,"[4.894367847690111, -1.3466599251484943, 0.0]","[0.0, 0.0, -0.5179490932551649]","[0.5, 0.0, -0.13457480744527048]"
11.163,"[4.980643948009953, -1.3976010807657637, 0.0]","[0.0, 0.0, -0.551922159493272]","[0.5, 0.0, -0.24861605362713735]"
11.363,"[5.0643681515623715, -1.4498245675227577, 0.0]","[0.0, 0.0, -0.5415981700167465]","[0.5, 0.0, 0.2490607614984589]"
11.563,"[5.151356057110428, -1.4993140521181294, 0.0]","[0.0, 0.0, -0.492931194282171]","[0.5, 0.0, 0.23662772314875566]"
11.763,"[5.240174112666154, -1.5444177531191265, 0.0]","[0.0, 0.0, -0.44700978578119166]","[0.5, 0.0, 0.22487384404452262]"
11.963,"[5.330965502690675, -1.5855077590449185, 0.0]","[0.0, 0.0, -0.40334250087886114]","[0.5, 0.0, 0.2137280762176369]"
12.163,"[5.423437903026045, -1.6226800177974885, 0.0]","[0.0, 0.0, -0.3616164256924851]","[0.5, 0.0, 0.20309703268936227]"
12.363,"[5.517348832683664, -1.6560886943177222, 0.0]","[0.0, 0.0, -0.32199381933402277]","[0.5, 0.0, 0.19303542075930677]"
12.563,"[5.612496965084609, -1.6858651707206187, 0.0]","[0.0, 0.0, -0.2845135789763438]","[0.5, 0.0, 0.18355274637824426]"
12.763,"[5.708671754457725, -1.7121463411318372, 0.0]","[0.0, 0.0, -0.2488701568112407]","[0.5, 0.0, 0.1745596472597208]"
12.963,"[5.805715704666387, -1.7350816702811485, 0.0]","[0.0, 0.0, -0.2150559985824925]","[0.5, 0.0, 0.1660563699121233]"
13.163,"[5.903477648398395, -1.7548104008521437, 0.0]","[0.0, 0.0, -0.18292965066874778]","[0.5, 0.0, 0.1580018677952584]"
13.363,"[6.001826825129965, -1.7714700619278145, 0.0]","[0.0, 0.0, -0.15238754489522646]","[0.5, 0.0, 0.1503670476613822]"
13.563,"[6.100648794617823, -1.7851942648119155, 0.0]","[0.0, 0.0, -0.12333504757268877]","[0.5, 0.0, 0.14312538256900528]"
13.764,"[6.20033952626087, -1.7961592333933039, 0.0]","[0.0, 0.0, -0.09551882911054169]","[0.5, 0.0, 0.13620991067594848]"
13.964,"[6.2998183005704576, -1.8043778572648377, 0.0]","[0.0, 0.0, -0.06915955412596406]","[0.5, 0.0, 0.12967394831822804]"
14.164,"[6.399496509704255, -1.8100346469210344, 0.0]","[0.0, 0.0, -0.04406638627759491]","[0.5, 0.0, 0.12346961207099816]"
14.364,"[6.499299649040527, -1.8132505736981583, 0.0]","[0.0, 0.0, -0.020219887556283844]","[0.5, 0.0, 0.11759128052470837]"
14.564,"[6.599146839659476, -1.8141344845218406, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.11199039762237661]"
14.764,"[6.698988940095203, -1.8127944275695733, 0.0]","[0.0, 0.0, 0.02423629102827286]","[0.5, 0.0, 0.1066688346789643]"
14.964,"[6.798793988068797, -1.8093479278618945, 0.0]","[0.0, 0.0, 0.044954343626001425]","[0.5, 0.0, 0.10159960463694535]"
15.164,"[6.898500354328086, -1.803864137543636, 0.0]","[0.0, 0.0, 0.06494341397430711]","[0.5, 0.0, 0.09670593258807368]"
15.364,"[6.998080392104494, -1.7964395472169872, 0.0]","[0.0, 0.0, 0.08400143315329435]","[0.5, 0.0, 0.09205249240711617]"
15.564,"[7.097506981585358, -1.7871668151006286, 0.0]","[0.0, 0.0, 0.10215984691950994]","[0.5, 0.0, 0.08763119703074095]"
15.764,"[7.196762622069519, -1.7761365766918948, 0.0]","[0.0, 0.0, 0.11942653113534708]","[0.5, 0.0, 0.08344065106331261]"
15.964,"[7.295821652136212, -1.7634357382475763, 0.0]","[0.0, 0.0, 0.13587839403982438]","[0.5, 0.0, 0.07945945466113052]"
16.164,"[7.394670095450351, -1.7491467927346027, 0.0]","[0.0, 0.0, 0.15154185253736688]","[0.5, 0.0, 0.0756811134564927]"
16.364,"[7.493293750239067, -1.7333480435854396, 0.0]","[0.0, 0.0, 0.16645700709459837]","[0.5, 0.0, 0.0720949172893548]"
16.564,"[7.591680905778016, -1.7161135685542366, 0.0]","[0.0, 0.0, 0.18066198984282375]","[0.5, 0.0, 0.0686906892569121]"
16.764,"[7.689824544487363, -1.697513916210586, 0.0]","[0.0, 0.0, 0.19418433347158734]","[0.5, 0.0, 0.0654614581414707]"
16.964,"[7.787718417463118, -1.677617201188127, 0.0]","[0.0, 0.0, 0.20706499091823513]","[0.5, 0.0, 0.06239636998650319]"
17.164,"[7.885357810096736, -1.65648635712519, 0.0]","[0.0, 0.0, 0.21932561435544926]","[0.5, 0.0, 0.05948989261074958]"
17.365,"[7.983229537476614, -1.6340672306650184, 0.0]","[0.0, 0.0, 0.23107191258971468]","[0.5, 0.0, 0.05671488751801433]"
17.565,"[8.080356928091518, -1.6106415064523403, 0.0]","[0.0, 0.0, 0.24221989238020852]","[0.5, 0.0, 0.054090091249359304]"
17.765,"[8.177226857421484, -1.5861522760529385, 0.0]","[0.0, 0.0, 0.2528556320351075]","[0.5, 0.0, 0.0515958175514746]"
17.965,"[8.273845717869747, -1.5606499357759418, 0.0]","[0.0, 0.0, 0.2629654000268459]","[0.5, 0.0, 0.04923593766176992]"
18.165,"[8.370208360612923, -1.534186274110326, 0.0]","[0.0, 0.0, 0.27263356383379145]","[0.5, 0.0, 0.04698468019732883]"
18.365,"[8.466314507160474, -1.5068092686746957, 0.0]","[0.0, 0.0, 0.2819134143429104]","[0.5, 0.0, 0.04482887486940037]"
18.566,"[8.562645326492714, -1.4784136048828982, 0.0]","[0.0, 0.0, 0.2908463847378329]","[0.5, 0.0, 0.04276000870730911]"
18.766,"[8.658247937910007, -1.4493261935932287, 0.0]","[0.0, 0.0, 0.29934388780696536]","[0.5, 0.0, 0.040799388097680474]"
18.966,"[8.753609431830661, -1.4194486219060611, 0.0]","[0.0, 0.0, 0.3074657236958933]","[0.5, 0.0, 0.038933020856176496]"
19.166,"[8.848736718498078, -1.38881607645182, 0.0]","[0.0, 0.0, 0.3152533484629844]","[0.5, 0.0, 0.037149183973711565]"
19.366,"[8.943635212501903, -1.3574616656939456, 0.0]","[0.0, 0.0, 0.3227230795802763]","[0.5, 0.0, 0.03544367046564265]"
19.566,"[9.038310346872716, -1.3254156575237952, 0.0]","[0.0, 0.0, 0.32989297086448016]","[0.5, 0.0, 0.03381143631027917]"
19.766,"[9.132763981671953, -1.2927078988863878, 0.0]","[0.0, 0.0, 0.33676177998818174]","[0.5, 0.0, 0.0322466246286215]"
19.966,"[9.226999532935158, -1.2593684941216405, 0.0]","[0.0, 0.0, 0.3433166996885474]","[0.5, 0.0, 0.03077414254566239]"
20.166,"[9.3210240742289, -1.2254281671223641, 0.0]","[0.0, 0.0, 0.34956324935963384]","[0.5, 0.0, 0.029372626428138485]"
20.366,"[9.414842519027436, -1.1909163544730437, 0.0]","[0.0, 0.0, 0.35551968505786474]","[0.5, 0.0, 0.028044116433638234]"
20.566,"[9.508460598611597, -1.1558610772077313, 0.0]","[0.0, 0.0, 0.3611973931898096]","[0.5, 0.0, 0.02678581363394995]"
20.766,"[9.602351342984994, -1.1201086352715444, 0.0]","[0.0, 0.0, 0.3666344230987532]","[0.5, 0.0, 0.025589063873747996]"
20.966,"[9.69512164301473, -1.0842207110322488, 0.0]","[0.0, 0.0, 0.37176848923882466]","[0.5, 0.0, 0.02446687038138511]"
21.166,"[9.78817701823966, -1.047682606663249, 0.0]","[0.0, 0.0, 0.37669795761637276]","[0.5, 0.0, 0.02339662602994753]"
21.366,"[9.881056297370987, -1.0106945971409207, 0.0]","[0.0, 0.0, 0.38140678696254954]","[0.5, 0.0, 0.02238153740019842]"
21.566,"[9.97376619407507, -0.9732778192766081, 0.0]","[0.0, 0.0, 0.3859025544152191]","[0.5, 0.0, 0.021420002945443876]"
21.766,"[10.066312532679978, -0.9354514782528784, 0.0]","[0.0, 0.0, 0.3901962675390149]","[0.5, 0.0, 0.02050907817388801]"
21.966,"[10.158699760954418, -0.897234308941707, 0.0]","[0.0, 0.0, 0.39430205192604467]","[0.5, 0.0, 0.019644936111845535]"
22.166,"[10.250931909412701, -0.8586437990186783, 0.0]","[0.0, 0.0, 0.39823195251048515]","[0.5, 0.0, 0.018824639118788643]"
22.366,"[10.343018082384859, -0.8196967664395207, 0.0]","[0.0, 0.0, 0.4019806868245995]","[0.5, 0.0, 0.018051305212638164]"
22.566,"[10.435419652163523, -0.7802122838982136, 0.0]","[0.0, 0.0, 0.40557816693000337]","[0.5, 0.0, 0.0173159319686003]"
22.766,"[10.526762569698825, -0.7407970235441357, 0.0]","[0.0, 0.0, 0.40900868399106505]","[0.5, 0.0, 0.016618566626850493]"
22.966,"[10.618423727548793, -0.7008734728976447, 0.0]","[0.0, 0.0, 0.4123467171341404]","[0.5, 0.0, 0.015944046499807074]"
23.166,"[10.709950031521894, -0.6606510122578904, 0.0]","[0.0, 0.0, 0.4155634957395715]","[0.5, 0.0, 0.015299773291672251]"
23.366,"[10.801347214191795, -0.6201433259998218, 0.0]","[0.0, 0.0, 0.418656182358248]","[0.5, 0.0, 0.014686527005136087]"
23.566,"[10.892620767238704, -0.5793635352768515, 0.0]","[0.0, 0.0, 0.4216301727738488]","[0.5, 0.0, 0.014103012163858735]"
23.766,"[10.983774680162291, -0.5383213810100624, 0.0]","[0.0, 0.0, 0.4244923226913277]","[0.5, 0.0, 0.013547708765920092]"
23.966,"[11.074813240120307, -0.49702587389555714, 0.0]","[0.0, 0.0, 0.427240097447414]","[0.5, 0.0, 0.01302184625780189]"
24.166,"[11.16574061218615, -0.4554879042849419, 0.0]","[0.0, 0.0, 0.4298772798190092]","[0.5, 0.0, 0.012524379180409117]"
24.366,"[11.25656062063839, -0.41371676416354636, 0.0]","[0.0, 0.0, 0.43240825964047114]","[0.5, 0.0, 0.012054406302873244]"
24.566,"[11.347276856151257, -0.3717214492836343, 0.0]","[0.0, 0.0, 0.43483929170846014]","[0.5, 0.0, 0.011610296841383776]"
24.766,"[11.437892274157598, -0.3295096900043783, 0.0]","[0.0, 0.0, 0.43718002545812357]","[0.5, 0.0, 0.011189590892925516]"
24.966,"[11.528410364326486, -0.2870891544857453, 0.0]","[0.0, 0.0, 0.4394340862332877]","[0.5, 0.0, 0.010791532793346157]"
25.166,"[11.61883477666709, -0.24446734284606292, 0.0]","[0.0, 0.0, 0.44160778902909276]","[0.5, 0.0, 0.01041465907028441]"
25.366,"[11.709168060314731, -0.20165127775355815, 0.0]","[0.0, 0.0, 0.44370314010731804]","[0.5, 0.0, 0.010058782051096027]"
25.566,"[11.79941314265634, -0.15864778084273554, 0.0]","[0.0, 0.0, 0.445724818847323]","[0.5, 0.0, 0.009722888519385275]"
25.766,"[11.889572639608396, -0.11546322201071321, 0.0]","[0.0, 0.0, 0.447677297030628]","[0.5, 0.0, 0.00940604701116608]"
25.966,"[11.979649320718108, -0.07210367351804813, 0.0]","[0.0, 0.0, 0.4495636780302072]","[0.5, 0.0, 0.009107828763495706]"
26.166,"[12.069646221293127, -0.02857523489018138, 0.0]","[0.0, 0.0, 0.45138434603645167]","[0.5, 0.0, 0.008828590727956132]"
26.367,"[12.160014680184696, 0.015335849587309594, 0.0]","[0.0, 0.0, 0.45315799092359343]","[0.5, 0.0, 0.008564409915287596]"
26.567,"[12.249857246144039, 0.05918751446255899, 0.0]","[0.0, 0.0, 0.4548643423217463]","[0.5, 0.0, 0.008319274176992086]"
26.767,"[12.339625716457585, 0.10319298880888907, 0.0]","[0.0, 0.0, 0.456519437926318]","[0.5, 0.0, 0.008090223005157415]"
26.967,"[12.429321762407216, 0.14734796105211312, 0.0]","[0.0, 0.0, 0.458126846203501]","[0.5, 0.0, 0.00787671194874856]"
27.167,"[12.518946846907244, 0.1916480711799424, 0.0]","[0.0, 0.0, 0.45969040721247806]","[0.5, 0.0, 0.00767802924081406]"
27.367,"[12.608501872991585, 0.23608848056623352, 0.0]","[0.0, 0.0, 0.46122112019803846]","[0.5, 0.0, 0.007491834842314958]"
27.567,"[12.697990780258122, 0.2806673233398925, 0.0]","[0.0, 0.0, 0.46270607548144344]","[0.5, 0.0, 0.007323610087179504]"
27.767,"[12.787415090091438, 0.3253814127203802, 0.0]","[0.0, 0.0, 0.464141988233383]","[0.5, 0.0, 0.0071735378736971275]"
27.967,"[12.876773281991376, 0.3702255993933783, 0.0]","[0.0, 0.0, 0.46555808202651505]","[0.5, 0.0, 0.0070334751251555135]"
28.167,"[12.966064779481071, 0.4151955456801916, 0.0]","[0.0, 0.0, 0.46697383622957356]","[0.5, 0.0, 0.0068997024489206304]"
28.367,"[13.055289698101653, 0.46029151135013796, 0.0]","[0.0, 0.0, 0.468385875130934]","[0.5, 0.0, 0.0067744033744042914]"
28.567,"[13.144450005256616, 0.5055103576962025, 0.0]","[0.0, 0.0, 0.46979358402729643]","[0.5, 0.0, 0.006659287618794073]"
28.767,"[13.233546985822983, 0.5508490585917721, 0.0]","[0.0, 0.0, 0.47119002417560035]","[0.5, 0.0, 0.006558386309555325]"
28.967,"[13.322582460257232, 0.596306972224045, 0.0]","[0.0, 0.0, 0.47257936598457806]","[0.5, 0.0, 0.006471344942110585]"
29.167,"[13.411558402060912, 0.6418840526497086, 0.0]","[0.0, 0.0, 0.47397473686694447]","[0.5, 0.0, 0.006396923469385546]"
29.367,"[13.500474408277036, 0.6875787244741317, 0.0]","[0.0, 0.0, 0.4753642388657325]","[0.5, 0.0, 0.006342644087845922]"
29.567,"[13.58932843450123, 0.7333888055427699, 0.0]","[0.0, 0.0, 0.47673229622463187]","[0.5, 0.0, 0.006315784339180691]"
29.767,"[13.678120782189996, 0.7793134946599162, 0.0]","[0.0, 0.0, 0.47808241334210605]","[0.5, 0.0, 0.006318950413285879]"
