time,position,rotation,velocity
9.974,"[4.643380816938058, -0.005053872895257404, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.174,"[4.743382545337694, -0.00487562328251342, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.005022861625499259]"
10.374,"[4.84338048674457, -0.00458583799241257, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.007691261599686337]"
10.574,"[4.943304399138112, -0.004005774785145391, 0.0]","[0.0, 0.0, 0.014155816382939135]","[0.5, 0.0, 0.1565998699639544]"
10.774000000000001,"[5.04303603558206, -0.001084186198500395, 0.0]","[0.0, 0.0, 0.04457794389635856]","[0.5, 0.0, 0.14997915404077605]"
10.974,"[5.142620255263062, 0.004816751433439484, 0.0]","[0.0, 0.0, 0.07404136439277727]","[0.5, 0.0, 0.14358542926699436]"
11.174,"[5.242016486859132, 0.013593406479598292, 0.0]","[0.0, 0.0, 0.10233477977098776]","[0.5, 0.0, 0.13748331495741925]"
11.374,"[5.341142160028918, 0.025116581779573148, 0.0]","[0.0, 0.0, 0.1294102076172527]","[0.5, 0.0, 0.13168987124927475]"
11.574,"[5.4399379682092155, 0.03926218590119499, 0.0]","[0.0, 0.0, 0.1553363115572374]","[0.5, 0.0, 0.12618699156993404]"
11.774000000000001,"[5.538351140805269, 0.05591235331647672, 0.0]","[0.0, 0.0, 0.18018851336860428]","[0.5, 0.0, 0.1209543459543303]"
11.974,"[5.636341569019066, 0.07495552006408929, 0.0]","[0.0, 0.0, 0.20401160164528398]","[0.5, 0.0, 0.11598077317984704]"
12.174,"[5.733869602886336, 0.09628331651233894, 0.0]","[0.0, 0.0, 0.22685412498307012]","[0.5, 0.0, 0.11125421439250217]"
12.374,"[5.8309050181984245, 0.1197940780096017, 0.0]","[0.0, 0.0, 0.24875420971383133]","[0.5, 0.0, 0.10676534831103564]"
12.574,"[5.927423280729791, 0.14538700346887937, 0.0]","[0.0, 0.0, 0.2697732873442769]","[0.5, 0.0, 0.10249746898556313]"
12.774000000000001,"[6.023403556868892, 0.17297231243709657, 0.0]","[0.0, 0.0, 0.2899537217296208]","[0.5, 0.0, 0.09844188810688163]"
12.974,"[6.118826701454233, 0.2024553604176976, 0.0]","[0.0, 0.0, 0.3093046909679152]","[0.5, 0.0, 0.09459483524732469]"
13.174,"[6.213671703574001, 0.23375831545057868, 0.0]","[0.0, 0.0, 0.32804707742970196]","[0.5, 0.0, 0.09089292240647036]"
13.374,"[6.307924058991747, 0.26680454217763266, 0.0]","[0.0, 0.0, 0.3461371394318096]","[0.5, 0.0, 0.08735273562144408]"
13.574,"[6.401580808705598, 0.3015025348555595, 0.0]","[0.0, 0.0, 0.36348249394007254]","[0.5, 0.0, 0.08400461294724121]"
13.774000000000001,"[6.494636171884676, 0.33778280153978285, 0.0]","[0.0, 0.0, 0.3801507744659054]","[0.5, 0.0, 0.08083004628122867]"
13.974,"[6.58708977321439, 0.3755775581049329, 0.0]","[0.0, 0.0, 0.39613301144031576]","[0.5, 0.0, 0.0778338984388126]"
14.175,"[6.679405157322829, 0.4150142880803828, 0.0]","[0.0, 0.0, 0.4115593741516447]","[0.5, 0.0, 0.07498862965237724]"
14.375,"[6.770655579190122, 0.4556355884804217, 0.0]","[0.0, 0.0, 0.42635380646422144]","[0.5, 0.0, 0.07230110282588492]"
14.575,"[6.861306715417614, 0.49757824932466016, 0.0]","[0.0, 0.0, 0.44061926564620657]","[0.5, 0.0, 0.06975161454588953]"
14.775,"[6.951365914171815, 0.5407889973030503, 0.0]","[0.0, 0.0, 0.45435584246171584]","[0.5, 0.0, 0.06734253089741266]"
14.975,"[7.040833194166143, 0.5852142942620083, 0.0]","[0.0, 0.0, 0.4676192191893066]","[0.5, 0.0, 0.06505926965937221]"
15.175,"[7.129713729727892, 0.6308055310257635, 0.0]","[0.0, 0.0, 0.48043327567788435]","[0.5, 0.0, 0.062897025021137]"
15.375,"[7.218013789945848, 0.677517304009821, 0.0]","[0.0, 0.0, 0.4928081438333104]","[0.5, 0.0, 0.06085519891144492]"
15.575,"[7.305739033701907, 0.7253048892548524, 0.0]","[0.0, 0.0, 0.5047690812298599]","[0.5, 0.0, 0.05892869240923823]"
15.775,"[7.3928960988662045, 0.7741272007257067, 0.0]","[0.0, 0.0, 0.516340978065937]","[0.5, 0.0, 0.057112544475187155]"
15.975,"[7.479491344938817, 0.8239454559662472, 0.0]","[0.0, 0.0, 0.527545294231341]","[0.5, 0.0, 0.05540312881992591]"
16.175,"[7.5655298012842955, 0.8747213509819008, 0.0]","[0.0, 0.0, 0.5384148144185623]","[0.5, 0.0, 0.053793105073256284]"
16.375,"[7.651019896604336, 0.92642191078322, 0.0]","[0.0, 0.0, 0.5489643166204745]","[0.5, 0.0, 0.05228271639289399]"
16.575,"[7.73596843683851, 0.9790178212393704, 0.0]","[0.0, 0.0, 0.5591897196378666]","[0.5, 0.0, 0.05087390152663402]"
16.775,"[7.820375472736623, 1.032472610747102, 0.0]","[0.0, 0.0, 0.5691630883114993]","[0.5, 0.0, 0.049548654748685694]"
16.975,"[7.9042486682622926, 1.0867553508891925, 0.0]","[0.0, 0.0, 0.5789186525222181]","[0.5, 0.0, 0.04830215611736146]"
17.175,"[7.987593129883388, 1.1418462977058534, 0.0]","[0.0, 0.0, 0.5884611696699439]","[0.5, 0.0, 0.047136558105613034]"
17.375,"[8.070416312550622, 1.1977211963054282, 0.0]","[0.0, 0.0, 0.5977984417147777]","[0.5, 0.0, 0.04605833248188673]"
17.575,"[8.152724910705137, 1.2543563679320415, 0.0]","[0.0, 0.0, 0.6069411030501474]","[0.5, 0.0, 0.045056931175378775]"
17.775,"[8.234523838960007, 1.3117314332110797, 0.0]","[0.0, 0.0, 0.6159022511907506]","[0.5, 0.0, 0.044146556891370224]"
17.976,"[8.31622325884397, 1.3701213152394272, 0.0]","[0.0, 0.0, 0.6247378774732524]","[0.5, 0.0, 0.0433215240264456]"
18.176,"[8.39701130727383, 1.4289273630777295, 0.0]","[0.0, 0.0, 0.6333834539169244]","[0.5, 0.0, 0.04259014350047421]"
18.376,"[8.4772971753183, 1.488422078923357, 0.0]","[0.0, 0.0, 0.6418873326584853]","[0.5, 0.0, 0.04195512624476092]"
18.576,"[8.557083079488924, 1.5485906355356895, 0.0]","[0.0, 0.0, 0.650270706893681]","[0.5, 0.0, 0.04141987595815354]"
18.776,"[8.6363709014064, 1.6094202880931705, 0.0]","[0.0, 0.0, 0.65855201632404]","[0.5, 0.0, 0.04099033171738654]"
18.976,"[8.71516083414721, 1.6709011751161147, 0.0]","[0.0, 0.0, 0.6667638358339928]","[0.5, 0.0, 0.040669984256680336]"
19.176,"[8.793452019843949, 1.733026460943494, 0.0]","[0.0, 0.0, 0.6749489759093145]","[0.5, 0.0, 0.040462008288485216]"
19.376,"[8.871239570535618, 1.7957908334694026, 0.0]","[0.0, 0.0, 0.6831299710063051]","[0.5, 0.0, 0.04037862301068894]"
19.576,"[8.948515045173076, 1.8591895751495258, 0.0]","[0.0, 0.0, 0.6913113419381857]","[0.5, 0.0, 0.040441678735405794]"
19.776,"[9.025270839516438, 1.9232192649559672, 0.0]","[0.0, 0.0, 0.699492733892021]","[0.5, 0.0, 0.04068077161392231]"
19.976,"[9.101499074465252, 1.9878755402470385, 0.0]","[0.0, 0.0, 0.7077141954919972]","[0.5, 0.0, 0.041122102191638796]"
20.176,"[9.177188252077364, 2.0531588096084814, 0.0]","[0.0, 0.0, 0.7160183933013193]","[0.5, 0.0, 0.041801565610566783]"
20.376,"[9.252324116372543, 2.119074041715781, 0.0]","[0.0, 0.0, 0.7244488515282114]","[0.5, 0.0, 0.0427703364866367]"
20.576,"[9.326895643330841, 2.1856290835575964, 0.0]","[0.0, 0.0, 0.7330574733361531]","[0.5, 0.0, 0.04410155094148834]"
20.776,"[9.400881358627023, 2.2528340913809957, 0.0]","[0.0, 0.0, 0.741926449004165]","[0.5, 0.0, 0.04588953220175503]"
20.977,"[9.474608081109341, 2.3210454953452975, 0.0]","[0.0, 0.0, 0.7512469062546769]","[0.5, 0.0, 0.04829217146334847]"
21.177,"[9.54730758431164, 2.3896117047791368, 0.0]","[0.0, 0.0, 0.761076643167361]","[0.5, 0.0, 0.05145533689136853]"
