time,position,rotation,velocity
9.972,"[4.6104669030035526, -0.005241135126239145, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.172,"[4.71046666386343, -0.005066851511643341, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
10.372,"[4.810465525594246, -0.004789811261469751, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.006542595430859601]"
10.572,"[4.9104594419455525, -0.004366188828151134, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, -0.23437181030647058]"
10.772,"[5.0107831583465625, -0.005927812942831367, 0.0]","[0.0, 0.0, -0.03828728233016484]","[0.5, 0.0, -0.2243320808482008]"
10.972,"[5.110947416168802, -0.011949004124319547, 0.0]","[0.0, 0.0, -0.0818964128219762]","[0.5, 0.0, -0.2141082464604543]"
11.172,"[5.210731697712741, -0.022242291439222114, 0.0]","[0.0, 0.0, -0.12392830166585056]","[0.5, 0.0, -0.2042786268533954]"
11.372,"[5.309984655698786, -0.03661806889004179, 0.0]","[0.0, 0.0, -0.16400039132707644]","[0.5, 0.0, -0.19495933168987986]"
11.572,"[5.408581279662592, -0.05486821403772443, 0.0]","[0.0, 0.0, -0.20223544814180205]","[0.5, 0.0, -0.18611573872020476]"
11.772,"[5.5064250592607555, -0.07679411010885989, 0.0]","[0.0, 0.0, -0.23863590871640825]","[0.5, 0.0, -0.1777507324178599]"
11.972,"[5.60339887517191, -0.10220019439011321, 0.0]","[0.0, 0.0, -0.2734725896185626]","[0.5, 0.0, -0.16977954366851045]"
12.172,"[5.699427799860795, -0.1308890819642776, 0.0]","[0.0, 0.0, -0.3068470479557505]","[0.5, 0.0, -0.1621793222817412]"
12.372,"[5.794467224192664, -0.16268696330127216, 0.0]","[0.0, 0.0, -0.3387166162580954]","[0.5, 0.0, -0.15496492018822483]"
12.572,"[5.888473140207144, -0.19742751695310629, 0.0]","[0.0, 0.0, -0.3691856087189465]","[0.5, 0.0, -0.1481074266710719]"
12.772,"[5.9813942384937056, -0.2349444391868089, 0.0]","[0.0, 0.0, -0.39825598343944096]","[0.5, 0.0, -0.14160777822168144]"
12.972,"[6.073201163936982, -0.27506951078577596, 0.0]","[0.0, 0.0, -0.4260320231430178]","[0.5, 0.0, -0.13543750655769704]"
13.172,"[6.16386968416641, -0.3176625206744747, 0.0]","[0.0, 0.0, -0.4526179192905901]","[0.5, 0.0, -0.12956729296397954]"
13.372,"[6.2533904600637795, -0.36259089933881106, 0.0]","[0.0, 0.0, -0.4780489247497144]","[0.5, 0.0, -0.12398872868671006]"
13.573,"[6.3421984911469576, -0.4099678174159722, 0.0]","[0.0, 0.0, -0.5024879540760402]","[0.5, 0.0, -0.11866509600754745]"
13.774000000000001,"[6.429839127362118, -0.45945001225942417, 0.0]","[0.0, 0.0, -0.5258832730533595]","[0.5, 0.0, -0.11360368875698956]"
13.974,"[6.515887817896781, -0.5106613640508884, 0.0]","[0.0, 0.0, -0.5481611477044064]","[0.5, 0.0, -0.10881932979078751]"
14.174,"[6.600794582633646, -0.5637373978956842, 0.0]","[0.0, 0.0, -0.5694735082947282]","[0.5, 0.0, -0.1042787326660786]"
14.374,"[6.684564290549535, -0.6185752680303067, 0.0]","[0.0, 0.0, -0.5899103108721832]","[0.5, 0.0, -0.09995667438613616]"
14.574,"[6.767217910874277, -0.675083162537809, 0.0]","[0.0, 0.0, -0.6094377994685563]","[0.5, 0.0, -0.09586506511565077]"
14.774000000000001,"[6.848755483841262, -0.7331644103835196, 0.0]","[0.0, 0.0, -0.6282038386587978]","[0.5, 0.0, -0.09195965849329533]"
14.974,"[6.9292024389256985, -0.7927350650940196, 0.0]","[0.0, 0.0, -0.6462835691360727]","[0.5, 0.0, -0.08822259157623273]"
15.174,"[7.008577467182595, -0.8537155528112335, 0.0]","[0.0, 0.0, -0.6636455800072995]","[0.5, 0.0, -0.08466522480824677]"
15.374,"[7.086905291144464, -0.9160336583554022, 0.0]","[0.0, 0.0, -0.6803019859584415]","[0.5, 0.0, -0.08128542467818259]"
15.574,"[7.164211150220466, -0.9796232576506181, 0.0]","[0.0, 0.0, -0.6963019458654385]","[0.5, 0.0, -0.07807057311745665]"
15.774000000000001,"[7.240511772594519, -1.044415555019505, 0.0]","[0.0, 0.0, -0.7116263041246818]","[0.5, 0.0, -0.07502788790810448]"
15.974,"[7.315828478269457, -1.110342631546751, 0.0]","[0.0, 0.0, -0.7263260063886154]","[0.5, 0.0, -0.07214412615908349]"
16.174,"[7.390188272389217, -1.1773445995400493, 0.0]","[0.0, 0.0, -0.7404338444908204]","[0.5, 0.0, -0.06941149716718358]"
16.374,"[7.463615176087533, -1.245364420400046, 0.0]","[0.0, 0.0, -0.7539833459835962]","[0.5, 0.0, -0.0668218829701472]"
16.574,"[7.536129093717527, -1.314345902787355, 0.0]","[0.0, 0.0, -0.7670129396402788]","[0.5, 0.0, -0.06436562338933725]"
16.774,"[7.60774991140867, -1.3842415454291161, 0.0]","[0.0, 0.0, -0.7795605323297896]","[0.5, 0.0, -0.0620330106874164]"
16.974,"[7.67849890476954, -1.455008949829791, 0.0]","[0.0, 0.0, -0.7916517774376775]","[0.5, 0.0, -0.05981796067896433]"
17.174,"[7.74839858291437, -1.5266091144984077, 0.0]","[0.0, 0.0, -0.8033069629256387]","[0.5, 0.0, -0.05771627351531284]"
17.374,"[7.8174712044514445, -1.599004730262337, 0.0]","[0.0, 0.0, -0.814543653402829]","[0.5, 0.0, -0.0557242602295015]"
17.574,"[7.885735217255456, -1.6721575531947317, 0.0]","[0.0, 0.0, -0.8254034291766089]","[0.5, 0.0, -0.05383123106584859]"
17.774,"[7.953207897881887, -1.746034167120164, 0.0]","[0.0, 0.0, -0.835904486136622]","[0.5, 0.0, -0.0520327006233702]"
17.974,"[8.019908387965367, -1.820603292073646, 0.0]","[0.0, 0.0, -0.8460666909739883]","[0.5, 0.0, -0.05032640594810682]"
18.174,"[8.085860162328794, -1.895838437909528, 0.0]","[0.0, 0.0, -0.8558558035457166]","[0.5, 0.0, -0.04872310255912634]"
18.374,"[8.151074188208236, -1.971705629299623, 0.0]","[0.0, 0.0, -0.8653480972921695]","[0.5, 0.0, -0.04720002120452007]"
18.574,"[8.215567922369871, -2.048175521415919, 0.0]","[0.0, 0.0, -0.8745821315034179]","[0.5, 0.0, -0.04575019866206866]"
18.774,"[8.279362582403012, -2.1252224068612637, 0.0]","[0.0, 0.0, -0.8835578420014196]","[0.5, 0.0, -0.044375934061304446]"
18.974,"[8.34247303348275, -2.2028253951002297, 0.0]","[0.0, 0.0, -0.8922791220423654]","[0.5, 0.0, -0.04307800175331342]"
19.174,"[8.404915432686341, -2.2809633875022413, 0.0]","[0.0, 0.0, -0.9007616378241022]","[0.5, 0.0, -0.04185397756228676]"
19.374,"[8.466704523486317, -2.3596168539626317, 0.0]","[0.0, 0.0, -0.9090161752614454]","[0.5, 0.0, -0.040703343655478376]"
19.575,"[8.528159114275145, -2.4391640205236627, 0.0]","[0.0, 0.0, -0.9170806304818643]","[0.5, 0.0, -0.039624129970063635]"
19.775,"[8.58868124538768, -2.518795934016005, 0.0]","[0.0, 0.0, -0.9248989924577716]","[0.5, 0.0, -0.03862265900735997]"
19.975,"[8.648590402300197, -2.598890230551911, 0.0]","[0.0, 0.0, -0.9325213126986356]","[0.5, 0.0, -0.03769392047040626]"
20.175,"[8.707898020812804, -2.679432306384063, 0.0]","[0.0, 0.0, -0.9399656409590031]","[0.5, 0.0, -0.03683605247515074]"
20.376,"[8.766905800066176, -2.7608126041164347, 0.0]","[0.0, 0.0, -0.9472752364933787]","[0.5, 0.0, -0.03604731985939897]"
20.576,"[8.825035735351078, -2.8422087185759253, 0.0]","[0.0, 0.0, -0.954399703541245]","[0.5, 0.0, -0.03533324909495732]"
20.776,"[8.882592027783877, -2.9240126928878123, 0.0]","[0.0, 0.0, -0.961384689534495]","[0.5, 0.0, -0.034691386391446956]"
20.976,"[8.939583780759584, -3.006215371287341, 0.0]","[0.0, 0.0, -0.9682598102963915]","[0.5, 0.0, -0.034118985564746976]"
21.176,"[8.99601702181376, -3.088805974539397, 0.0]","[0.0, 0.0, -0.9750383411217546]","[0.5, 0.0, -0.033619434394126055]"
21.376,"[9.051895926646965, -3.1717752280801625, 0.0]","[0.0, 0.0, -0.9817238393992453]","[0.5, 0.0, -0.033199330686929006]"
21.576,"[9.107223418143336, -3.255113757579998, 0.0]","[0.0, 0.0, -0.9883239501923541]","[0.5, 0.0, -0.03286498055486994]"
21.776,"[9.162001765300584, -3.338813361169616, 0.0]","[0.0, 0.0, -0.9948479263668597]","[0.5, 0.0, -0.03262384956343229]"
21.976,"[9.21623373673385, -3.4228676469920516, 0.0]","[0.0, 0.0, -1.0013122844440128]","[0.5, 0.0, -0.0324840170742398]"
22.176,"[9.26992002425638, -3.5072706894683203, 0.0]","[0.0, 0.0, -1.0077441426603344]","[0.5, 0.0, -0.03245240496924271]"
22.376,"[9.323060218634577, -3.5920199650803926, 0.0]","[0.0, 0.0, -1.0141599849646254]","[0.5, 0.0, -0.032544348032350116]"
22.576,"[9.375651228297482, -3.6771128007083616, 0.0]","[0.0, 0.0, -1.020581927534612]","[0.5, 0.0, -0.03277579746702171]"
22.776,"[9.427684995003462, -3.762545904526608, 0.0]","[0.0, 0.0, -1.0270667262324655]","[0.5, 0.0, -0.033159616179212384]"
22.976,"[9.479155677629036, -3.8483197454097957, 0.0]","[0.0, 0.0, -1.0336581724377416]","[0.5, 0.0, -0.03372287838025962]"
23.176,"[9.530055473404254, -3.9344366742946764, 0.0]","[0.0, 0.0, -1.0403840858929387]","[0.5, 0.0, -0.03450924332167539]"
23.376,"[9.580366807633187, -4.02090184255804, 0.0]","[0.0, 0.0, -1.0472900493457389]","[0.5, 0.0, -0.03557352567130318]"
23.576,"[9.630070267410856, -4.10772046758956, 0.0]","[0.0, 0.0, -1.0544268158320282]","[0.5, 0.0, -0.03699679180327311]"
