y_truth,y_pred
-0.17010584,-0.22808708
-0.46131235,-0.5502688
0.0,0.040472116
0.0,-0.025525417
0.0,-0.09051634
1.429398,1.3683921
1.0825312,0.989674
-0.83500946,-0.8613518
-0.13657153,-0.21470813
-0.41935694,-0.41277373
0.0,0.051412392
0.0,-0.018257543
0.0,-0.09589112
1.3427118,1.2662853
1.0825312,1.0439
-0.5377378,-0.70932597
-0.099208646,-0.19657426
-0.3883022,-0.26776496
0.0,0.045329574
0.0,-0.007760953
0.0,-0.077753484
1.2842346,1.202536
1.0825312,1.0661113
-0.41316125,-0.43165997
-0.059802383,-0.16393162
-0.3659651,-0.15532216
0.0,0.01999801
0.0,-0.0046407785
0.0,-0.047872476
1.2290558,1.178419
1.0825312,1.0627627
-0.57536894,-0.31809947
-0.021504398,-0.1216172
-0.3606172,-0.115137294
0.0,-0.00012655184
0.0,-0.003399415
0.0,-0.027936552
1.0347309,1.1596198
1.0825312,1.0567783
-3.3854778,-0.5545747
0.014340875,-0.004589174
-0.39634565,-0.22715253
0.0,0.0108390935
0.0,0.03169739
0.0,-0.013203368
0.7185376,0.5736492
1.0825312,0.9065689
-1.5885451,-2.9969187
0.03105595,-0.06162308
-0.46125096,-0.38183203
0.0,-0.0021971837
0.0,0.0043486264
0.0,-0.035252046
0.57071626,0.7276661
1.0825312,1.032483
-0.75604737,-0.90272236
0.03605093,0.0085844435
-0.5321967,-0.4137595
0.0,-0.0017248094
0.0,0.009077148
0.0,-0.03731135
0.5017251,0.5236985
1.0825312,1.1058561
-0.36727095,-0.27014217
0.036176514,0.047245476
-0.6036635,-0.4634014
0.0,-0.011231538
0.0,0.011206083
0.0,-0.021897402
0.4693658,0.41017145
1.0825312,1.1259501
-0.18561359,0.080472134
0.033995006,0.06647
-0.67501473,-0.5289908
0.0,-0.017163504
0.0,0.012651222
0.0,-0.009342231
0.4539573,0.37652394
1.0825312,1.1195905
-0.09934293,0.21659705
0.030725202,0.06538722
-0.7462324,-0.6034619
0.0,-0.016916864
0.0,0.01484326
0.0,-0.0016065389
0.44671658,0.39148504
1.0825312,1.1056892
-0.058951665,0.24834654
0.026942557,0.054497223
-0.81737024,-0.67380196
0.0,-0.013056181
0.0,0.016779331
0.0,0.0035404619
0.44331196,0.42103317
1.0825312,1.0915805
-0.04001335,0.24337034
0.022917626,0.043697234
-0.8884656,-0.7392218
0.0,-0.007727742
0.0,0.017944485
0.0,0.00747801
0.4416673,0.44712645
1.0825312,1.0809692
-0.023835406,0.23084912
0.018778102,0.03778093
-0.9595402,-0.8037047
0.0,-0.0021144748
0.0,0.01845092
0.0,0.010781909
0.44089907,0.4635883
1.0825312,1.0740727
-0.023835406,0.2260052
0.014584516,0.040286962
-1.030605,-0.8696728
0.0,0.003538791
0.0,0.019004934
0.0,0.013785451
0.44056427,0.4701287
1.0825312,1.068375
-0.023835406,0.2034391
0.010361636,0.046607923
-1.101736,-0.937597
0.0,0.010989081
0.0,0.020191636
0.0,0.015609431
0.44038096,0.47074997
1.0825312,1.0623653
-0.023835406,0.17454801
0.00613176,0.04565339
-1.1727937,-1.0063221
0.0,0.016943391
0.0,0.022269594
0.0,0.017551314
0.4403018,0.46788567
1.0825312,1.0602161
-0.023835406,0.15434343
0.0018972569,0.041474026
-1.2438507,-1.0767795
0.0,0.022088546
0.0,0.02493973
0.0,0.019468442
0.44030014,0.46264952
1.0825312,1.059486
-0.023835406,0.13807584
-0.0023428123,0.03610644
-1.3149785,-1.1490018
0.0,0.027006175
0.0,0.027891148
0.0,0.021447537
0.44028553,0.45587203
1.0825312,1.0588198
-0.023835406,0.12271942
-0.006578189,0.030366022
-1.3860352,-1.2227358
0.0,0.031926718
0.0,0.03097966
0.0,0.023469344
0.44028124,0.44782528
1.0825312,1.0577437
-0.023835406,0.10749632
-0.010812214,0.02462719
-1.4570919,-1.2976669
0.0,0.036907356
0.0,0.03413355
0.0,0.025481466
0.4403159,0.4386775
1.0825312,1.0561901
-0.023835406,0.09242941
-0.015044292,0.019098092
-1.5281495,-1.3735329
0.0,0.041931454
0.0,0.037311897
0.0,0.027456312
0.44033882,0.4286429
1.0825312,1.0541774
-0.023835406,0.07769863
-0.019273687,0.013929289
-1.5992073,-1.450031
0.0,0.04693426
0.0,0.040477842
0.0,0.029390534
0.44034955,0.4179425
1.0825312,1.0517243
-0.023835406,0.063507736
-0.023499811,0.009248909
-1.6702652,-1.5268127
0.0,0.051821265
0.0,0.04359375
0.0,0.03130573
0.4403977,0.40688777
1.0825312,1.0488315
-0.023835406,0.050053947
-0.027721886,0.005166225
-1.7413245,-1.6034466
0.0,0.05649754
0.0,0.046630975
0.0,0.03322392
0.44045514,0.39588365
1.0825312,1.045504
-0.023835406,0.037471324
-0.03193824,0.0017448552
-1.8123846,-1.6794728
0.0,0.060862068
0.0,0.04956269
0.0,0.03517647
0.44050047,0.38533106
1.0825312,1.0417343
-0.023835406,0.025841992
-0.036145825,-0.0009792298
-1.8834457,-1.7544259
0.0,0.06483117
0.0,0.05236895
0.0,0.03718908
0.440627,0.3756149
1.0825312,1.0375236
-0.023835406,0.015193287
-0.04039981,-0.0030026734
-1.9545597,-1.8278811
0.0,0.068342224
0.0,0.05503721
0.0,0.0392776
0.42344776,0.3671722
1.0825312,1.0328745
-3.5410497,0.005479783
-0.0590259,0.31834096
-2.0183861,-1.8791014
0.0,0.0025882237
0.0,0.059952393
0.0,0.020051606
0.09289683,0.058389395
1.0825312,0.86448395
-1.6610526,-2.9737914
-0.09579389,-0.0111801885
-2.0503588,-1.904612
0.0,0.04141065
0.0,0.049674917
0.0,0.0069666486
-0.061842874,0.5374813
1.0825312,0.8988717
-0.7903726,-0.83305585
-0.13682686,-0.023604553
-2.0608194,-1.9922068
0.0,0.046153102
0.0,0.0478535
0.0,0.008116883
-0.13406953,0.13525371
1.0825312,0.975241
-0.38336676,-0.18034387
-0.17829785,-0.024209388
-2.0625105,-2.0051856
0.0,0.051570516
0.0,0.06384678
0.0,0.02706528
2.412622,-0.15543804
1.0825312,0.9848514
-0.1933863,0.12171121
-0.21974686,-0.15064853
-2.0600467,-2.0168602
0.0,-0.023103185
0.0,0.053529646
0.0,0.032233194
2.3964877,1.4045597
1.0825312,0.77196324
-0.1030745,0.110972956
-0.26113388,-0.22969544
-2.055613,-2.0412047
0.0,-0.05988835
0.0,0.014431836
0.0,0.022761457
2.3888915,1.9983219
1.0825312,0.8159233
-0.06069265,-0.17812404
-0.3024813,-0.28082132
-2.050254,-1.9527817
0.0,-0.04061916
0.0,0.0039813947
0.0,0.01722531
2.385313,2.1320772
1.0825312,0.87605304
-0.04079308,-0.22953929
-0.34380782,-0.31684023
-2.0444586,-1.8337427
0.0,-0.021693617
0.0,0.0003171265
0.0,0.011233262
2.3836253,2.1357417
1.0825312,0.9156626
-0.023835406,-0.23285453
-0.38512293,-0.35021076
-2.0384572,-1.7431946
0.0,-0.009888496
0.0,0.00035127625
0.0,0.0070212707
2.382825,2.1252143
1.0825312,0.93683773
-0.023835406,-0.22459315
-0.42643306,-0.3808817
-2.0323586,-1.6855947
0.0,-0.004693415
0.0,0.0013872953
0.0,0.0043742284
2.3824477,2.1207485
1.0825312,0.94648576
-0.023835406,-0.2208846
-0.46774134,-0.40893444
-2.0262144,-1.6451068
0.0,-0.0024937727
0.0,0.0031564645
0.0,0.004242385
2.3822742,2.1231472
1.0825312,0.9506361
-0.023835406,-0.20951863
-0.5090891,-0.4399074
-2.0200434,-1.6237851
0.0,-0.0035326742
0.0,0.0043482175
0.0,0.0038918667
2.3821964,2.1312191
1.0825312,0.9519457
-0.023835406,-0.19287813
0.6126489,0.6328988
0.34653872,0.4923475
0.0,-0.0013632327
0.0,0.019618034
0.0,-0.022848964
-1.5809829,-1.4429084
0.563482,0.725248
0.004409692,0.21417962
0.5811995,0.60350496
0.31332433,0.38384852
0.0,0.0017922409
0.0,0.009178444
0.0,-0.029254239
-1.5778537,-1.4281285
0.563482,0.68963605
-0.0062145917,0.08363755
0.5499002,0.5664843
0.27981126,0.31374526
0.0,0.000961788
0.0,0.004004417
0.0,-0.02883298
-1.5758492,-1.4214511
0.563482,0.65621144
-0.023835406,0.019009667
0.5186762,0.53290325
0.24608856,0.2659097
0.0,-0.00012854859
0.0,0.0014125882
0.0,-0.027700774
-1.5745935,-1.4170833
0.563482,0.6419414
-0.023835406,-0.020761084
0.48749983,0.4999776
0.21223287,0.22690426
0.0,-0.0013146661
0.0,0.00021800585
0.0,-0.026594855
-1.5737984,-1.4095937
0.563482,0.6397713
-0.023835406,-0.021649364
0.45635375,0.46840286
0.1782929,0.19104744
0.0,-0.002069749
0.0,-0.0006686039
0.0,-0.025569376
-1.5732973,-1.4055393
0.563482,0.6399979
-0.023835406,-0.022134956
0.42522755,0.43801326
0.14430054,0.1562408
0.0,-0.002474919
0.0,-0.0012125615
0.0,-0.024506912
-1.5729676,-1.4026811
0.563482,0.641236
-0.023835406,-0.019391026
0.39411333,0.4082676
0.1102745,0.121888444
0.0,-0.0025929548
0.0,-0.0015591066
0.0,-0.023378354
-1.5727736,-1.4005955
0.563482,0.6428252
-0.023835406,-0.014170576
0.3630063,0.37888935
0.07622704,0.087720305
0.0,-0.0024592206
0.0,-0.0017564651
0.0,-0.022161853
-1.5726627,-1.3991134
0.563482,0.64439654
-0.023835406,-0.006699525
0.33190432,0.3497204
0.04216735,0.053612288
0.0,-0.0020960756
0.0,-0.001827782
0.0,-0.020842489
-1.5725685,-1.3981854
0.563482,0.64572823
-0.023835406,0.002868794
0.30080533,0.32068288
0.008100434,0.019502208
0.0,-0.0015146807
0.0,-0.0017823596
0.0,-0.019409481
-1.5725298,-1.3977894
0.563482,0.6466818
-0.023835406,0.014446832
0.2697074,0.29173714
-0.025970908,-0.014643848
0.0,-0.0007183701
0.0,-0.0016209986
0.0,-0.017855465
-1.5725129,-1.3979638
0.563482,0.6471605
-0.023835406,0.027984697
0.23860978,0.26287332
-0.060044143,-0.048840836
0.0,0.0002938062
0.0,-0.0013417825
0.0,-0.016174775
-1.5725133,-1.3987318
0.563482,0.64709854
-0.023835406,0.043443102
0.2075127,0.23409459
-0.09411658,-0.083091184
0.0,0.0015235357
0.0,-0.0009429883
0.0,-0.01436555
-1.5725073,-1.4001192
0.563482,0.6464439
-0.023835406,0.0607728
0.17641497,0.20538026
-0.12818782,-0.11743301
0.0,0.0029489659
0.0,-0.0004164297
0.0,-0.012422424
-1.5725286,-1.4021395
0.563482,0.64518243
-0.023835406,0.079834566
0.14531581,0.17674014
-0.1622572,-0.15183277
0.0,0.004567776
0.0,0.0002424214
0.0,-0.01034639
-1.5725648,-1.4048333
