time,position,rotation,velocity
0.207,"[-1.206887905886092e-06, -1.4024757849328028e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.208,"[-1.1959282713615293e-06, -1.405295865733943e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.208,"[-1.1836124267231365e-06, -1.4086845629877167e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.21,"[-1.170714129343324e-06, -1.412563962131764e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.211,"[-1.1575745583235555e-06, -1.4168223319458164e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.212,"[-1.1444032895621334e-06, -1.4213381657436379e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.213,"[-1.1313563732968934e-06, -1.4259940035623078e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.214,"[-1.1185420445408017e-06, -1.4306844217875346e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.215,"[-1.1060268800397108e-06, -1.4353195567626319e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.216,"[-1.093845869727314e-06, -1.4398271357241581e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.217,"[-1.0820118753959718e-06, -1.4441531949800162e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.218,"[-1.0705235929447596e-06, -1.448260288223539e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.219,"[-1.0593719364845183e-06, -1.4521249234455395e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
0.22,"[-1.0485436115004534e-06, -1.4557351612806579e-06, 0.0]","[0.0, 0.0, 0.0]","[0.5, 0.0, 0.0]"
